Symbol,CategoryName
ASTRAL,INDUSTRIAL MANUFACTURING
ASTRAL,NIFTY500
ASTRAL,MIDSMALLCAP_400
AUROPHARMA,PHARMACEUTICALS
AUROPHARMA,PHARMA
AUROPHARMA,HIGH_MARKET_VALUE
AUROPHARMA,NIFTY100
AUROPHARMA,NIFTY200
AUROPHARMA,NIFTY500
AUROPHARMA,LARGECAP_250
AUROPHARMA,NIFTY_NEXT_50
AVANTIFEED,FOOD PROCESSING
AVANTIFEED,AQUACULTURE
AVANTIFEED,CONSUMER GOODS
AVANTIFEED,LONGTERM
AVANTIFEED,NIFTY500
AVANTIFEED,LARGECAP_250
AVANTIFEED,MIDCAP_150
AVANTIFEED,MIDSMALLCAP_400
AXISBANK,BANKS - PRIVATE SECTOR
AXISBANK,FINANCIAL SERVICES
AXISBANK,Bank
AXISBANK,HIGH_MARKET_VALUE
AXISBANK,NIFTY100
AXISBANK,NIFTY200
AXISBANK,NIFTY500
AXISBANK,LARGECAP_250
AXISBANK,NIFTY50
BEML,INFRASTRUCTURE - GENERAL
BEML,INDUSTRIAL MANUFACTURING
BEML,NIFTY500
BEML,MIDSMALLCAP_400
BEML,SMALLCAP_50
BEML,SMALLCAP_100
BAJAJ-AUTO,AUTO - 2 & 3 WHEELERS
BAJAJ-AUTO,AUTOMOBILE
BAJAJ-AUTO,HIGH_MARKET_VALUE
BAJAJ-AUTO,NIFTY100
BAJAJ-AUTO,NIFTY200
BAJAJ-AUTO,NIFTY500
BAJAJ-AUTO,LARGECAP_250
BAJAJ-AUTO,NIFTY50
BAJAJCORP,PERSONAL CARE
BAJAJCORP,CONSUMER GOODS
BAJAJCORP,NIFTY500
BAJAJCORP,MIDSMALLCAP_400
BAJAJELEC,DOMESTIC APPLIANCES
BAJAJELEC,CONSUMER GOODS
BAJAJELEC,LONGTERM
BAJAJELEC,NIFTY500
BAJAJELEC,MIDSMALLCAP_400
BAJAJELEC,SMALLCAP_100
BAJFINANCE,FINANCE - LEASING & HIRE PURCHASE
BAJFINANCE,FINANCIAL SERVICES
BAJFINANCE,HIGH_MARKET_VALUE
BAJFINANCE,LONGTERM
BAJFINANCE,NIFTY100
BAJFINANCE,NIFTY200
BAJFINANCE,NIFTY500
BAJFINANCE,LARGECAP_250
BAJFINANCE,NIFTY50
BAJAJFINSV,FINANCE - INVESTMENTS
BAJAJFINSV,FINANCIAL SERVICES
BAJAJFINSV,HIGH_MARKET_VALUE
BAJAJFINSV,LONGTERM
BAJAJFINSV,NIFTY100
BAJAJFINSV,NIFTY200
BAJAJFINSV,NIFTY500
BAJAJFINSV,LARGECAP_250
BAJAJFINSV,NIFTY50
BAJAJHIND,SUGAR
BAJAJHIND,CONSUMER GOODS
BAJAJHIND,NIFTY500
BAJAJHIND,MIDSMALLCAP_400
BAJAJHLDNG,FINANCE - INVESTMENTS
BAJAJHLDNG,FINANCIAL SERVICES
BAJAJHLDNG,HIGH_MARKET_VALUE
BAJAJHLDNG,NIFTY500
BAJAJHLDNG,LARGECAP_250
BAJAJHLDNG,MIDCAP_150
BAJAJHLDNG,MIDSMALLCAP_400
BALKRISIND,TYRES
BALKRISIND,AUTOMOBILE
BALKRISIND,HIGH_MARKET_VALUE
BALKRISIND,LONGTERM
BALKRISIND,NIFTY200
BALKRISIND,NIFTY500
BALKRISIND,LARGECAP_250
BALKRISIND,MIDCAP_50
BALKRISIND,MIDCAP_100
BALKRISIND,MIDCAP_150
BALKRISIND,MIDSMALLCAP_400
BALLARPUR,PAPER
BALLARPUR,NIFTY500
BALLARPUR,MIDSMALLCAP_400
BANKBARODA,BANKS - PUBLIC SECTOR
BANKBARODA,FINANCIAL SERVICES
BANKBARODA,Bank
BANKBARODA,HIGH_MARKET_VALUE
BANKBARODA,NIFTY100
BANKBARODA,NIFTY200
BANKBARODA,NIFTY500
BANKBARODA,LARGECAP_250
BANKBARODA,NIFTY_NEXT_50
BANKINDIA,BANKS - PUBLIC SECTOR
BANKINDIA,FINANCIAL SERVICES
BANKINDIA,Bank
BANKINDIA,NIFTY200
BANKINDIA,NIFTY500
BANKINDIA,LARGECAP_250
BANKINDIA,MIDCAP_50
BANKINDIA,MIDCAP_100
BANKINDIA,MIDCAP_150
BANKINDIA,MIDSMALLCAP_400
BATAINDIA,LEATHER PRODUCTS
BATAINDIA,CONSUMER GOODS
BATAINDIA,NIFTY200
BATAINDIA,NIFTY500
BATAINDIA,LARGECAP_250
BATAINDIA,MIDCAP_100
BATAINDIA,MIDCAP_150
BATAINDIA,MIDSMALLCAP_400
BERGEPAINT,PAINTS & VARNISHES
BERGEPAINT,CONSUMER GOODS
BERGEPAINT,HIGH_MARKET_VALUE
BERGEPAINT,NIFTY200
BERGEPAINT,NIFTY500
BERGEPAINT,LARGECAP_250
BERGEPAINT,MIDCAP_50
BERGEPAINT,MIDCAP_100
BERGEPAINT,MIDCAP_150
BERGEPAINT,MIDSMALLCAP_400
BHARATFIN,FINANCE - GENERAL
BHARATFIN,FINANCIAL SERVICES
BHARATFIN,HIGH_MARKET_VALUE
BHARATFIN,NIFTY200
BHARATFIN,NIFTY500
BHARATFIN,LARGECAP_250
BHARATFIN,MIDCAP_100
BHARATFIN,MIDCAP_150
BHARATFIN,MIDSMALLCAP_400
BHARATFORG,CASTINGS & FORGINGS
BHARATFORG,INDUSTRIAL MANUFACTURING
BHARATFORG,HIGH_MARKET_VALUE
BHARATFORG,NIFTY200
BHARATFORG,NIFTY500
BHARATFORG,LARGECAP_250
BHARATFORG,MIDCAP_50
BHARATFORG,MIDCAP_100
BHARATFORG,MIDCAP_150
BHARATFORG,MIDSMALLCAP_400
BHEL,INFRASTRUCTURE - GENERAL
BHEL,INDUSTRIAL MANUFACTURING
BHEL,HIGH_MARKET_VALUE
BHEL,NIFTY100
BHEL,NIFTY200
BHEL,NIFTY500
BHEL,LARGECAP_250
BHEL,NIFTY_NEXT_50
BPCL,REFINERIES
BPCL,ENERGY
BPCL,HIGH_MARKET_VALUE
BPCL,NIFTY100
BPCL,NIFTY200
BPCL,NIFTY500
BPCL,LARGECAP_250
BPCL,NIFTY50
BHARTIARTL,TELECOMMUNICATIONS - SERVICE
BHARTIARTL,TELECOM
BHARTIARTL,HIGH_MARKET_VALUE
BHARTIARTL,NIFTY100
BHARTIARTL,NIFTY200
BHARTIARTL,NIFTY500
BHARTIARTL,LARGECAP_250
BHARTIARTL,NIFTY50
INFRATEL,TELECOMMUNICATIONS - EQUIPMENT
INFRATEL,TELECOM
INFRATEL,HIGH_MARKET_VALUE
INFRATEL,NIFTY100
INFRATEL,NIFTY200
INFRATEL,NIFTY500
INFRATEL,LARGECAP_250
INFRATEL,NIFTY50
BIOCON,PHARMACEUTICALS
BIOCON,PHARMA
BIOCON,HIGH_MARKET_VALUE
BIOCON,SPECIAL
BIOCON,NIFTY200
BIOCON,NIFTY500
BIOCON,LARGECAP_250
BIOCON,MIDCAP_50
BIOCON,MIDCAP_100
BIOCON,MIDCAP_150
BIOCON,MIDSMALLCAP_400
BIRLACORPN,CEMENT - MAJOR
BIRLACORPN,CEMENT & CEMENT PRODUCTS
BIRLACORPN,NIFTY500
BIRLACORPN,MIDSMALLCAP_400
BLUEDART,COURIERS
BLUEDART,SERVICES
BLUEDART,NIFTY500
BLUEDART,LARGECAP_250
BLUEDART,MIDCAP_150
BLUEDART,MIDSMALLCAP_400
BLUESTARCO,CONSUMER GOODS - WHITE GOODS
BLUESTARCO,CONSUMER GOODS
BLUESTARCO,NIFTY500
BLUESTARCO,MIDSMALLCAP_400
BOMDYEING,TEXTILES - PROCESSING
BOMDYEING,TEXTILES
BOSCHLTD,AUTO ANCILLARIES
BOSCHLTD,AUTOMOBILE
BOSCHLTD,HIGH_MARKET_VALUE
BOSCHLTD,LONGTERM
BOSCHLTD,NIFTY100
BOSCHLTD,NIFTY200
BOSCHLTD,NIFTY500
BOSCHLTD,LARGECAP_250
BOSCHLTD,NIFTY_NEXT_50
BRITANNIA,FOOD PROCESSING
BRITANNIA,CONSUMER GOODS
BRITANNIA,HIGH_MARKET_VALUE
BRITANNIA,LONGTERM
BRITANNIA,CAN-SLIM-2020
BRITANNIA,NIFTY100
BRITANNIA,NIFTY200
BRITANNIA,NIFTY500
BRITANNIA,LARGECAP_250
BRITANNIA,NIFTY_NEXT_50
CARERATING,MISCELLANEOUS
CARERATING,FINANCIAL SERVICES
CARERATING,NIFTY500
CARERATING,MIDSMALLCAP_400
CARERATING,SMALLCAP_50
CARERATING,SMALLCAP_100
CESC,POWER - GENERATION & DISTRIBUTION
CESC,ENERGY
CESC,HIGH_MARKET_VALUE
CGPOWER,ELECTRIC EQUIPMENT
CGPOWER,INDUSTRIAL MANUFACTURING
CGPOWER,NIFTY500
CGPOWER,MIDSMALLCAP_400
CGPOWER,SMALLCAP_50
CGPOWER,SMALLCAP_100
CRISIL,MISCELLANEOUS
CRISIL,FINANCIAL SERVICES
CRISIL,HIGH_MARKET_VALUE
CRISIL,NIFTY500
CRISIL,LARGECAP_250
CRISIL,MIDCAP_150
CRISIL,MIDSMALLCAP_400
CADILAHC,PHARMACEUTICALS
CADILAHC,PHARMA
CADILAHC,HIGH_MARKET_VALUE
CADILAHC,NIFTY100
CADILAHC,NIFTY200
CADILAHC,NIFTY500
CADILAHC,LARGECAP_250
CADILAHC,NIFTY_NEXT_50
CANFINHOME,FINANCE - HOUSING
CANFINHOME,FINANCIAL SERVICES
CANFINHOME,LONGTERM
CANFINHOME,NIFTY500
CANFINHOME,MIDSMALLCAP_400
CANFINHOME,SMALLCAP_50
CANFINHOME,SMALLCAP_100
CANBK,BANKS - PUBLIC SECTOR
CANBK,FINANCIAL SERVICES
CANBK,Bank
CANBK,HIGH_MARKET_VALUE
CANBK,NIFTY200
CANBK,NIFTY500
CANBK,LARGECAP_250
CANBK,MIDCAP_50
CANBK,MIDCAP_100
CANBK,MIDCAP_150
CANBK,MIDSMALLCAP_400
CAPF,FINANCE - GENERAL
CAPF,FINANCIAL SERVICES
CAPF,NIFTY500
CAPF,MIDSMALLCAP_400
CAPF,SMALLCAP_50
CAPF,SMALLCAP_100
CASTROLIND,LUBRICANTS
CASTROLIND,ENERGY
CASTROLIND,HIGH_MARKET_VALUE
CASTROLIND,NIFTY200
CASTROLIND,NIFTY500
CASTROLIND,LARGECAP_250
CASTROLIND,MIDCAP_50
CASTROLIND,MIDCAP_100
CASTROLIND,MIDCAP_150
CASTROLIND,MIDSMALLCAP_400
CEATLTD,TYRES
CEATLTD,AUTOMOBILE
CEATLTD,LONGTERM
CEATLTD,NIFTY500
CEATLTD,MIDSMALLCAP_400
CEATLTD,SMALLCAP_50
CEATLTD,SMALLCAP_100
CENTRALBK,BANKS - PUBLIC SECTOR
CENTRALBK,FINANCIAL SERVICES
CENTRALBK,Bank
CENTRALBK,HIGH_MARKET_VALUE
CENTRALBK,NIFTY200
CENTRALBK,NIFTY500
CENTRALBK,LARGECAP_250
CENTRALBK,MIDCAP_100
CENTRALBK,MIDCAP_150
CENTRALBK,MIDSMALLCAP_400
CENTURYPLY,MISCELLANEOUS
CENTURYPLY,CONSUMER GOODS
CENTURYPLY,NIFTY500
CENTURYPLY,MIDSMALLCAP_400
CENTURYPLY,SMALLCAP_50
CENTURYPLY,SMALLCAP_100
CENTURYTEX,DIVERSIFIED
CENTURYTEX,CEMENT & CEMENT PRODUCTS
CENTURYTEX,HIGH_MARKET_VALUE
CENTURYTEX,NIFTY200
CENTURYTEX,NIFTY500
CENTURYTEX,LARGECAP_250
CENTURYTEX,MIDCAP_50
CENTURYTEX,MIDCAP_100
CENTURYTEX,MIDCAP_150
CENTURYTEX,MIDSMALLCAP_400
CHENNPETRO,REFINERIES
CHENNPETRO,ENERGY
CHENNPETRO,NIFTY500
CHENNPETRO,MIDSMALLCAP_400
CHENNPETRO,SMALLCAP_50
CHENNPETRO,SMALLCAP_100
CIPLA,PHARMACEUTICALS
CIPLA,PHARMA
CIPLA,HIGH_MARKET_VALUE
CIPLA,SPECIAL
CIPLA,NIFTY100
CIPLA,NIFTY200
CIPLA,NIFTY500
CIPLA,LARGECAP_250
CIPLA,NIFTY50
CUB,BANKS - PRIVATE SECTOR
CUB,FINANCIAL SERVICES
CUB,Bank
CUB,NIFTY500
CUB,LARGECAP_250
CUB,MIDCAP_150
CUB,MIDSMALLCAP_400
COALINDIA,MINING & MINERALS
COALINDIA,METALS
COALINDIA,HIGH_MARKET_VALUE
COALINDIA,NIFTY100
COALINDIA,NIFTY200
COALINDIA,NIFTY500
COALINDIA,LARGECAP_250
COALINDIA,NIFTY50
COFFEEDAY,FOOD PROCESSING
COFFEEDAY,CONSUMER GOODS
COFFEEDAY,NIFTY500
COFFEEDAY,MIDSMALLCAP_400
COLPAL,PERSONAL CARE
COLPAL,CONSUMER GOODS
COLPAL,HIGH_MARKET_VALUE
COLPAL,LONGTERM
COLPAL,NIFTY100
COLPAL,NIFTY200
COLPAL,NIFTY500
COLPAL,LARGECAP_250
COLPAL,NIFTY_NEXT_50
CONCOR,TRANSPORT & LOGISTICS
CONCOR,SERVICES
CONCOR,HIGH_MARKET_VALUE
CONCOR,NIFTY100
CONCOR,NIFTY200
CONCOR,NIFTY500
CONCOR,LARGECAP_250
CONCOR,NIFTY_NEXT_50
COROMANDEL,FERTILISERS
COROMANDEL,FERTILISERS & PESTICIDES
COROMANDEL,HIGH_MARKET_VALUE
COROMANDEL,NIFTY200
COROMANDEL,NIFTY500
COROMANDEL,LARGECAP_250
COROMANDEL,MIDCAP_100
COROMANDEL,MIDCAP_150
COROMANDEL,MIDSMALLCAP_400
CROMPTON,ELECTRICALS
CROMPTON,CONSUMER GOODS
CROMPTON,HIGH_MARKET_VALUE
CROMPTON,LONGTERM
CROMPTON,NIFTY200
CROMPTON,NIFTY500
CROMPTON,LARGECAP_250
CROMPTON,MIDCAP_100
CROMPTON,MIDCAP_150
CROMPTON,MIDSMALLCAP_400
CUMMINSIND,ENGINES
CUMMINSIND,INDUSTRIAL MANUFACTURING
CUMMINSIND,HIGH_MARKET_VALUE
CUMMINSIND,NIFTY100
CUMMINSIND,NIFTY200
CUMMINSIND,NIFTY500
CUMMINSIND,LARGECAP_250
CUMMINSIND,NIFTY_NEXT_50
DBREALTY,CONSTRUCTION & CONTRACTING - REAL ESTATE
DBREALTY,CONSTRUCTION
DBREALTY,NIFTY500
DBREALTY,MIDSMALLCAP_400
DBCORP,MEDIA & ENTERTAINMENT
DBCORP,NIFTY500
DBCORP,MIDSMALLCAP_400
DCBBANK,BANKS - PRIVATE SECTOR
DCBBANK,FINANCIAL SERVICES
DCBBANK,Bank
DCBBANK,NIFTY500
DCBBANK,MIDSMALLCAP_400
DCBBANK,SMALLCAP_50
DCBBANK,SMALLCAP_100
DLF,CONSTRUCTION & CONTRACTING - REAL ESTATE
DLF,CONSTRUCTION
DLF,HIGH_MARKET_VALUE
DLF,NIFTY100
DLF,NIFTY200
DLF,NIFTY500
DLF,LARGECAP_250
DLF,NIFTY_NEXT_50
DABUR,PERSONAL CARE
DABUR,CONSUMER GOODS
DABUR,HIGH_MARKET_VALUE
DABUR,LONGTERM
DABUR,NIFTY100
DABUR,NIFTY200
DABUR,NIFTY500
DABUR,LARGECAP_250
DABUR,NIFTY_NEXT_50
DALMIABHA,CEMENT - MAJOR
DALMIABHA,CEMENT & CEMENT PRODUCTS
DALMIABHA,HIGH_MARKET_VALUE
DELTACORP,CONSTRUCTION & CONTRACTING - REAL ESTATE
DELTACORP,SERVICES
DELTACORP,SPECIAL
DELTACORP,NIFTY500
DELTACORP,MIDSMALLCAP_400
DELTACORP,SMALLCAP_50
DELTACORP,SMALLCAP_100
DEN,MEDIA & ENTERTAINMENT
DEN,NIFTY500
DEN,MIDSMALLCAP_400
DHFL,FINANCE - HOUSING
DHFL,FINANCIAL SERVICES
DHFL,HIGH_MARKET_VALUE
DHFL,NIFTY200
DHFL,NIFTY500
DHFL,LARGECAP_250
DHFL,MIDCAP_50
DHFL,MIDCAP_100
DHFL,MIDCAP_150
DHFL,MIDSMALLCAP_400
DBL,CONSTRUCTION & CONTRACTING - CIVIL
DBL,CONSTRUCTION
DBL,HIGH_MARKET_VALUE
DBL,LONGTERM
DBL,NIFTY200
DBL,NIFTY500
DBL,LARGECAP_250
DBL,MIDCAP_100
DBL,MIDCAP_150
DBL,MIDSMALLCAP_400
DISHTV,MEDIA & ENTERTAINMENT
DISHTV,NIFTY200
DISHTV,NIFTY500
DISHTV,LARGECAP_250
DISHTV,MIDCAP_50
DISHTV,MIDCAP_100
DISHTV,MIDCAP_150
DISHTV,MIDSMALLCAP_400
DIVISLAB,PHARMACEUTICALS
DIVISLAB,PHARMA
DIVISLAB,HIGH_MARKET_VALUE
DIVISLAB,SPECIAL
DIVISLAB,NIFTY200
DIVISLAB,NIFTY500
DIVISLAB,LARGECAP_250
DIVISLAB,MIDCAP_50
DIVISLAB,MIDCAP_100
DIVISLAB,MIDCAP_150
DIVISLAB,MIDSMALLCAP_400
LALPATHLAB,PHARMACEUTICALS
LALPATHLAB,HEALTHCARE SERVICES
LALPATHLAB,NIFTY500
LALPATHLAB,MIDSMALLCAP_400
DRREDDY,PHARMACEUTICALS
DRREDDY,PHARMA
DRREDDY,HIGH_MARKET_VALUE
DRREDDY,NIFTY100
DRREDDY,NIFTY200
DRREDDY,NIFTY500
DRREDDY,LARGECAP_250
DRREDDY,NIFTY50
EDELWEISS,FINANCE - GENERAL
EDELWEISS,FINANCIAL SERVICES
EDELWEISS,HIGH_MARKET_VALUE
EDELWEISS,CAN-SLIM-2020
EDELWEISS,NIFTY200
EDELWEISS,NIFTY500
EDELWEISS,LARGECAP_250
EDELWEISS,MIDCAP_100
EDELWEISS,MIDCAP_150
EDELWEISS,MIDSMALLCAP_400
EICHERMOT,AUTO - LCVS & HCVS
EICHERMOT,AUTOMOBILE
EICHERMOT,HIGH_MARKET_VALUE
EICHERMOT,LONGTERM
EICHERMOT,NIFTY100
EICHERMOT,NIFTY200
EICHERMOT,NIFTY500
EICHERMOT,LARGECAP_250
EICHERMOT,NIFTY50
EMAMILTD,PERSONAL CARE
EMAMILTD,CONSUMER GOODS
EMAMILTD,HIGH_MARKET_VALUE
EMAMILTD,NIFTY100
EMAMILTD,NIFTY200
EMAMILTD,NIFTY500
EMAMILTD,LARGECAP_250
EMAMILTD,NIFTY_NEXT_50
ENDURANCE,AUTO - 2 & 3 WHEELERS
ENDURANCE,AUTOMOBILE
ENDURANCE,HIGH_MARKET_VALUE
ENDURANCE,NIFTY200
ENDURANCE,NIFTY500
ENDURANCE,LARGECAP_250
ENDURANCE,MIDCAP_100
ENDURANCE,MIDCAP_150
ENDURANCE,MIDSMALLCAP_400
ENGINERSIN,INFRASTRUCTURE - GENERAL
ENGINERSIN,CONSTRUCTION
ENGINERSIN,NIFTY200
ENGINERSIN,NIFTY500
ENGINERSIN,LARGECAP_250
ENGINERSIN,MIDCAP_50
ENGINERSIN,MIDCAP_100
ENGINERSIN,MIDCAP_150
ENGINERSIN,MIDSMALLCAP_400
EQUITAS,FINANCE - GENERAL
EQUITAS,FINANCIAL SERVICES
EQUITAS,NIFTY500
EQUITAS,MIDSMALLCAP_400
EQUITAS,SMALLCAP_50
EQUITAS,SMALLCAP_100
EROSMEDIA,MEDIA & ENTERTAINMENT
EROSMEDIA,NIFTY500
EROSMEDIA,MIDSMALLCAP_400
EVEREADY,DRY CELLS
EVEREADY,CONSUMER GOODS
EVEREADY,NIFTY500
EVEREADY,MIDSMALLCAP_400
EXIDEIND,AUTO ANCILLARIES
EXIDEIND,AUTOMOBILE
EXIDEIND,HIGH_MARKET_VALUE
EXIDEIND,NIFTY200
EXIDEIND,NIFTY500
EXIDEIND,LARGECAP_250
EXIDEIND,MIDCAP_50
EXIDEIND,MIDCAP_100
EXIDEIND,MIDCAP_150
EXIDEIND,MIDSMALLCAP_400
FEDERALBNK,BANKS - PRIVATE SECTOR
FEDERALBNK,FINANCIAL SERVICES
FEDERALBNK,Bank
FEDERALBNK,HIGH_MARKET_VALUE
FEDERALBNK,NIFTY200
FEDERALBNK,NIFTY500
FEDERALBNK,LARGECAP_250
FEDERALBNK,MIDCAP_50
FEDERALBNK,MIDCAP_100
FEDERALBNK,MIDCAP_150
FEDERALBNK,MIDSMALLCAP_400
FINCABLES,CABLES - TELEPHONE
FINCABLES,INDUSTRIAL MANUFACTURING
FINCABLES,NIFTY500
FINCABLES,LARGECAP_250
FINCABLES,MIDCAP_150
FINCABLES,MIDSMALLCAP_400
FINPIPE,PETROCHEMICALS
FINPIPE,INDUSTRIAL MANUFACTURING
FINPIPE,NIFTY500
FINPIPE,MIDSMALLCAP_400
FSL,COMPUTERS - SOFTWARE MEDIUM & SMALL
FSL,IT
FSL,NIFTY500
FSL,MIDSMALLCAP_400
FCONSUMER,FINANCE - INVESTMENTS
FCONSUMER,CONSUMER GOODS
FCONSUMER,LONGTERM
FCONSUMER,NIFTY200
FCONSUMER,NIFTY500
FCONSUMER,LARGECAP_250
FCONSUMER,MIDCAP_100
FCONSUMER,MIDCAP_150
FCONSUMER,MIDSMALLCAP_400
FRETAIL,RETAIL
FRETAIL,CONSUMER GOODS
FRETAIL,HIGH_MARKET_VALUE
FRETAIL,LONGTERM
FRETAIL,NIFTY200
FRETAIL,NIFTY500
FRETAIL,LARGECAP_250
FRETAIL,MIDCAP_100
FRETAIL,MIDCAP_150
FRETAIL,MIDSMALLCAP_400
